col_scaling,rank,PureSVDs
0.2,2000,0.01941229937039993
0.2,1750,0.022532034228961606
0.2,1500,0.02505403697791966
0.2,1250,0.025683359936153234
0.2,1000,0.02529845038574089
0.2,750,0.020941684401879934
0.2,500,0.02099489004167775
0.2,400,0.020358639265762174
0.2,350,0.021177230203068192
0.2,300,0.017621597055954598
0.2,250,0.017364713576305757
0.2,200,0.01563331338121841
0.2,150,0.012043595371109338
0.2,125,0.0122284295468653
0.2,100,0.009394120776802342
0.2,75,0.007171953977121575
0.2,60,0.004838664981821407
0.2,50,0.00446040613638379
0.2,30,0.006212589784517159
0.2,20,0.00701289128314268
0.2,15,0.007675190653542609
0.2,10,0.00667703068191895
0.2,5,0.007636394874523366
0.2,1,0.005763944311430345
0.4,2000,0.024770827791079187
0.4,1750,0.026848341757559638
0.4,1500,0.026565963908841007
0.4,1250,0.029184124767225327
0.4,1000,0.030045945286867076
0.4,750,0.024952059501640506
0.4,500,0.023786246342112266
0.4,400,0.026283031834707815
0.4,350,0.026902655848186574
0.4,300,0.024516715438503152
0.4,250,0.023928959386361623
0.4,200,0.023407987496674647
0.4,150,0.019744834619136294
0.4,125,0.017307628358606015
0.4,100,0.016089163784694514
0.4,75,0.011903930566640065
0.4,60,0.009666522568058881
0.4,50,0.009044127427507317
0.4,30,0.010406413496497294
0.4,20,0.009388301409949455
0.4,15,0.010664959652389821
0.4,10,0.011395151636073424
0.4,5,0.009033320031923385
0.4,1,0.005836547840737785
0.6,2000,0.023805921344329167
0.6,1750,0.025683637048860515
0.6,1500,0.025660359581448966
0.6,1250,0.028527921876385563
0.6,1000,0.029400826904318524
0.6,750,0.026508878691141262
0.6,500,0.026401913186131064
0.6,400,0.029002615943956728
0.6,350,0.028884565930655318
0.6,300,0.027409494989802254
0.6,250,0.025724095504123436
0.6,200,0.026877161479116788
0.6,150,0.02269968741686619
0.6,125,0.021709563713753658
0.6,100,0.018474272856256097
0.6,75,0.014485789660370667
0.6,60,0.013877804380597675
0.6,50,0.013801044160681033
0.6,30,0.011759831958854305
0.6,20,0.011855712955573292
0.6,15,0.01147218896869735
0.6,10,0.009848862729449322
0.6,5,0.008537565398598918
0.6,1,0.005992562294936598
