rank,SGD
1,16.378499
5,90.883064
10,13.583245
15,28.756782
20,4.179715
30,3.071328
50,53.086066
60,4.866959
75,3.649149
100,24.529201
125,41.558289
150,4.113128
200,10.902922
250,6.13499
300,65.937128
350,9.531508
400,8.16134
500,3.7794119999999998
750,7.2285260000000005
1000,5.533524
1250,79.559399
1500,21.662342
1750,103.404456
2000,18.829234
