rank,SGD
1,0.013327458543938991
5,0.017519896692382728
10,0.015041677751174959
15,0.0180239647069256
20,0.00881135275339186
30,0.0067474173095681475
50,0.018406934468386982
60,0.00863760308592711
75,0.008802208034051611
100,0.018326294670568413
125,0.017988494280393723
150,0.010017901480890308
200,0.013308337767136651
250,0.010579608938547487
300,0.0167126673760752
350,0.012024474594306996
400,0.010941518134255566
500,0.009033042919216104
750,0.011502671366498182
1000,0.008600747095858828
1250,0.01953810853950519
1500,0.01843991088055334
1750,0.018763855635364014
2000,0.01429097942715261
