col_scaling,rank,PureSVDs
0.2,3000,0.04582404722223306
0.2,2500,0.04396303032747392
0.2,2000,0.042146779752309654
0.2,1500,0.038674500609966855
0.2,1250,0.03687426356205898
0.2,1000,0.034257130627448375
0.2,750,0.031635509134757794
0.2,500,0.02829102379456195
0.2,400,0.02600567553232781
0.2,300,0.023650732935998363
0.2,250,0.02227786299532973
0.2,200,0.020489573751779705
0.2,150,0.017920806656770153
0.2,100,0.01499245618668585
0.2,75,0.013232377639087838
0.2,50,0.010914655380653577
0.2,30,0.009598401986588102
0.2,15,0.006923037058142656
0.2,1,0.0012763876258043085
0.4,3000,0.0492032917827295
0.4,2500,0.04753409027335969
0.4,2000,0.04524584721642179
0.4,1500,0.04194528252545793
0.4,1250,0.040095335238910554
0.4,1000,0.03735502716336574
0.4,750,0.03434369257844026
0.4,500,0.030643917266550524
0.4,400,0.028523604828213988
0.4,300,0.026500403536550088
0.4,250,0.02529016251182312
0.4,200,0.023640953517186408
0.4,150,0.02146975991201559
0.4,100,0.018432892587287274
0.4,75,0.01652232808280457
0.4,50,0.013863009207398705
0.4,30,0.011621896010300697
0.4,15,0.008280218729386786
0.4,1,0.0016693966640689408
0.6,3000,0.04509836447351815
0.6,2500,0.045119983277410666
0.6,2000,0.043877433308049954
0.6,1500,0.0417626719367109
0.6,1250,0.04055935890380304
0.6,1000,0.03841558453385999
0.6,750,0.03574169410758575
0.6,500,0.03216144020698541
0.6,400,0.03001455420378401
0.6,300,0.028108228893043513
0.6,250,0.026693899420737487
0.6,200,0.02517446830102222
0.6,150,0.02326775268088347
0.6,100,0.021131654395772862
0.6,75,0.01956320692079278
0.6,50,0.01682354936091173
0.6,30,0.0135459370309511
0.6,15,0.009885593810213356
0.6,1,0.0019805274641208083
