rank,PureSVD(cs)
1,0.002575457802594905
15,0.013445472176637326
30,0.015825684543049903
50,0.01785162234867591
75,0.02001206519705699
100,0.021343440155912184
150,0.023228878801010683
200,0.02471459119228775
250,0.02608105764062052
300,0.026892498383808243
400,0.028500993987529866
500,0.029641311992498028
750,0.030899662316565192
1000,0.031627644219953635
1250,0.031873329047169115
1500,0.03190393604853548
2000,0.03198773529502308
2500,0.03150753986014317
3000,0.031075563772677006
