rank,LCE
1,1093.4430270651355
30,16.87937710992992
50,9342.830799140967
100,7692.092770006973
150,1306.6388673200272
200,6332.980853598099
300,213.66060082614422
400,21305.909684692044
500,1401.1058998308145
750,16307.505903908983
1000,3296.3955893800594
1250,2635.6587955681607
1500,612.724093590863
2000,22522.307078736834
2500,4180.31286033662
3000,2774.544153769966
