rank,SGD
1,89.030406
5,326.062068
10,218.275839
15,67.165444
20,126.301985
30,204.359817
50,280.117598
60,1044.634671
75,101.850739
100,398.20317
125,166.408875
150,661.753735
200,82.234311
250,72.388683
300,472.650814
350,143.349678
400,354.643842
500,109.028014
750,846.640304
1000,90.161912
