regularization,linear_regularization,rank,adagrad_momentum_weighting,FM
1e-09,3e-10,40,0.95,0.09191136854215434
3e-09,1e-09,40,0.95,0.09658132144138604
1e-06,1e-08,40,0.9,0.0944167933888063
1e-08,3e-07,40,0.9,0.09170437006282
1e-08,1e-10,40,0.99,0.09741654848759262
3e-07,3e-08,40,0.9,0.0920304303996446
1e-10,3e-08,40,0.99,0.09808088574504076
3e-07,1e-07,40,0.95,0.097850222974012
3e-06,3e-08,40,0.99,0.08575737124176307
3e-08,1e-06,40,0.99,0.09505760873898657
3e-06,1e-08,40,0.99,0.08783122889150877
1e-09,1e-07,40,0.95,0.0970098700884492
1e-10,1e-10,40,0.9,0.09456541425325063
1e-07,3e-06,40,0.9,0.09244904061373384
1e-10,3e-10,40,0.95,0.09355072587580661
1e-08,1e-08,40,0.99,0.09599717509297703
1e-10,3e-07,40,0.99,0.09924567578496535
1e-06,3e-06,40,0.99,0.09956757849653437
3e-10,1e-08,40,0.95,0.09443798019147857
3e-07,3e-10,40,0.99,0.09882854636891236
1e-10,3e-09,40,0.95,0.0923809808578377
3e-06,1e-09,40,0.9,0.07805719297646102
3e-09,3e-08,40,0.9,0.09362012404531242
3e-09,3e-08,40,0.99,0.09890324123908623
3e-10,1e-08,40,0.99,0.09776801020611571
3e-10,3e-08,40,0.99,0.09989118982122212
3e-10,3e-08,40,0.95,0.09458836662281227
3e-07,3e-10,40,0.9,0.09490548521764883
1e-07,3e-09,40,0.99,0.09789894692478116
3e-09,3e-09,40,0.9,0.0911624834122143
3e-07,3e-06,40,0.99,0.09607374943758151
3e-07,3e-06,40,0.95,0.09822873773358165
1e-10,3e-06,40,0.95,0.09056039662605864
3e-09,3e-10,40,0.9,0.09167298853520597
3e-08,1e-07,40,0.95,0.09232322973442457
3e-08,1e-07,40,0.9,0.09206047351364897
3e-10,3e-07,40,0.9,0.09311445999282383
3e-10,3e-07,40,0.99,0.09577066994720386
1e-08,3e-09,40,0.99,0.09776556119397885
3e-07,1e-06,40,0.99,0.10054604427586128
3e-07,1e-06,40,0.95,0.09766107950176842
3e-10,3e-10,40,0.99,0.09532700007403991
1e-07,1e-08,40,0.99,0.09721496061646762
3e-08,3e-10,40,0.99,0.09481794727219917
1e-09,3e-06,40,0.99,0.09630660492877932
3e-09,1e-07,40,0.95,0.0952980106047921
1e-09,3e-08,40,0.9,0.09362764194303484
1e-09,3e-08,40,0.95,0.09400983022080978
1e-09,3e-06,40,0.9,0.0920934497468405
1e-08,1e-07,40,0.99,0.09640371110769388
1e-06,3e-07,40,0.99,0.10185048496135687
1e-07,1e-09,40,0.99,0.09516929508318099
1e-08,3e-08,40,0.99,0.0985534881336819
3e-10,1e-06,40,0.95,0.09461143289991514
1e-09,3e-07,40,0.95,0.09422112870982624
3e-10,1e-06,40,0.9,0.09266238943849278
3e-06,3e-09,40,0.95,0.08065525313103356
3e-06,3e-09,40,0.9,0.07828591931928854
3e-07,1e-07,40,0.9,0.09350388139946805
1e-09,3e-09,40,0.99,0.0969409560259937
