alpha,beta,LCE
0.3,0.05,66.20102057978511
0.7,0.1,60.74627546593547
0.5,0.0,56.046251454390585
0.5,0.1,56.679358907975256
0.9,0.0,57.317111927084625
0.3,0.1,58.92613138537854
0.3,0.3,59.17169929854572
0.1,0.3,59.387685279361904
0.5,0.05,61.59369908552617
0.1,0.0,57.46845906134695
0.5,0.3,58.13424528390169
0.7,0.0,57.34727391786873
0.9,0.3,58.856997535564005
0.3,0.0,62.517055336385965
0.9,0.1,58.205046800896525
0.9,0.05,62.30919582489878
0.1,0.1,114.6477353926748
0.7,0.3,137.76312263309956
0.7,0.05,58.558998519554734
0.1,0.05,77.41986397653818
