alpha,beta,LCE(cs)
0.3,0.1,0.00860619913982487
0.7,0.05,0.007598084717967759
0.3,0.05,0.008220009901296451
0.5,0.1,0.007111335437358829
0.1,0.3,0.008291175469538042
0.9,0.05,0.0061815418175067294
0.3,0.3,0.008255979454809863
0.7,0.0,0.006514937033942882
0.5,0.05,0.0076620950524459285
0.9,0.1,0.006023739905318852
0.3,0.0,0.009535025836195426
0.5,0.3,0.0068291871654444745
0.9,0.3,0.005985256350753426
0.9,0.0,0.006058935920047031
0.1,0.1,0.008544122652309786
0.1,0.0,0.008261394226306507
0.7,0.3,0.007129706983508153
0.7,0.1,0.00785741359571769
0.5,0.0,0.007786248027476097
0.1,0.05,0.008303552090101798
