alpha,beta,LCE
0.3,0.05,0.10367571092544182
0.7,0.1,0.09470816887932065
0.5,0.0,0.10233444962723758
0.5,0.1,0.10288732835557379
0.9,0.0,0.04819336944202391
0.3,0.1,0.10443946098951482
0.3,0.3,0.10258928927389638
0.1,0.3,0.10242381009334722
0.5,0.05,0.10337915264180066
0.1,0.0,0.10094568888433259
0.5,0.3,0.10387687164328716
0.7,0.0,0.09249716654991144
0.9,0.3,0.048378127473929416
0.3,0.0,0.10217295721063213
0.9,0.1,0.048590821330326175
0.9,0.05,0.0485387940608608
0.1,0.1,0.10056509531213514
0.7,0.3,0.09484844601636852
0.7,0.05,0.09318727538856711
0.1,0.05,0.1024494108132429
