rank,FM(cs)
1,0.01903427550357375
5,0.016750015470775703
10,0.018546559299483276
15,0.010575048732943468
20,0.017143166558371236
30,0.017630302608372783
50,0.01717333457099539
60,0.0167900461029116
75,0.017179716265973574
100,0.017688511401961694
125,0.018022486772486773
150,0.016473281970357995
200,0.017550241344100992
250,0.014734560165846716
300,0.015737646585599802
350,0.020131540270429158
400,0.017196153965159812
500,0.019124586156749897
750,0.016558564621430117
1000,0.01944309075157028
