col_scaling,rank,PureSVDs(cs)
0.2,1000,0.009779464
0.2,750,0.010809624
0.2,500,0.011091192
0.2,400,0.011542359
0.2,350,0.01154642
0.2,300,0.011833596
0.2,250,0.012161964
0.2,200,0.012377587
0.2,150,0.012126961
0.2,125,0.01249826
0.2,100,0.013438109
0.2,75,0.014173358
0.2,60,0.015330959
0.2,50,0.015174317
0.2,30,0.014256513
0.2,20,0.013246272
0.2,15,0.011434064
0.2,10,0.009711779
0.2,5,0.011297921
0.2,1,0.007302206
0.4,1000,0.01089394
0.4,750,0.011491692
0.4,500,0.011464425
0.4,400,0.011222114
0.4,350,0.011402542
0.4,300,0.011831469
0.4,250,0.011403702
0.4,200,0.012162737
0.4,150,0.013681194
0.4,125,0.013012083
0.4,100,0.013983454
0.4,75,0.013796258
0.4,60,0.013107421
0.4,50,0.014766855
0.4,30,0.012159256
0.4,20,0.010675609
0.4,15,0.009699596
0.4,10,0.008611034
0.4,5,0.009088307
0.4,1,0.006531762
0.6,1000,0.01122134
0.6,750,0.010586845
0.6,500,0.012157129
0.6,400,0.013129661
0.6,350,0.013184195
0.6,300,0.01256401
0.6,250,0.012567104
0.6,200,0.013161762
0.6,150,0.014027932
0.6,125,0.015044362
0.6,100,0.014909767
0.6,75,0.013433468
0.6,60,0.013824879
0.6,50,0.013372552
0.6,30,0.01189838
0.6,20,0.009641581
0.6,15,0.00880964
0.6,10,0.008994902
0.6,5,0.008548184
0.6,1,0.006275914
