regularization,linear_regularization,rank,adagrad_momentum_weighting,SGD
3e-07,1e-08,40,0.9,15.361473
1e-09,3e-10,40,0.9,14.137737
3e-07,1e-08,40,0.95,12.61974
3e-09,1e-09,40,0.95,12.278148999999999
3e-09,1e-09,40,0.99,13.086389
3e-08,3e-08,40,0.95,12.441902
3e-09,1e-06,40,0.95,13.443456
3e-09,1e-09,40,0.9,11.77168
3e-08,3e-06,40,0.99,13.271828
1e-09,3e-10,40,0.95,10.749637
3e-08,1e-08,40,0.99,11.340747
3e-07,3e-08,40,0.95,12.15048
1e-07,1e-06,40,0.99,12.351119
3e-06,3e-08,40,0.9,12.427112
3e-09,3e-07,40,0.99,12.388425
1e-08,1e-09,40,0.99,11.888188
3e-09,1e-10,40,0.9,11.426007
3e-06,3e-10,40,0.99,12.20709
3e-08,1e-06,40,0.9,11.890558
3e-06,1e-08,40,0.9,12.331423000000001
1e-09,1e-07,40,0.99,11.893321
1e-07,3e-06,40,0.95,12.119107
1e-10,1e-10,40,0.95,11.531753
1e-08,1e-08,40,0.95,11.592953
3e-07,1e-10,40,0.99,11.208896
1e-06,3e-06,40,0.99,12.053176
3e-07,3e-07,40,0.9,11.479261
1e-06,3e-06,40,0.95,11.701101
3e-06,1e-09,40,0.99,11.997306
3e-08,1e-09,40,0.9,11.292212
1e-07,3e-09,40,0.9,11.764097
1e-07,3e-09,40,0.95,12.057952
1e-07,1e-10,40,0.99,10.599252
1e-07,1e-10,40,0.9,11.910325
3e-07,3e-06,40,0.9,12.209577
1e-07,3e-07,40,0.9,11.912674
3e-10,1e-09,40,0.95,12.746694
1e-06,1e-09,40,0.9,12.170653
1e-06,1e-06,40,0.99,11.293733
1e-08,3e-10,40,0.9,11.865543
1e-09,1e-08,40,0.9,11.727982
3e-10,3e-10,40,0.99,11.796645
1e-09,3e-08,40,0.9,11.317678
1e-09,3e-06,40,0.99,11.686794
1e-09,3e-06,40,0.9,13.442017
1e-09,3e-06,40,0.95,12.150739
3e-09,1e-07,40,0.99,12.08178
3e-08,3e-09,40,0.95,12.216245
1e-07,1e-07,40,0.9,11.413975
3e-06,3e-06,40,0.95,12.556755
3e-06,3e-06,40,0.99,12.131217
1e-06,1e-10,40,0.99,12.62394
1e-07,1e-09,40,0.95,12.27491
1e-08,3e-08,40,0.95,11.779628
3e-10,1e-06,40,0.95,11.924867
3e-09,1e-08,40,0.9,12.464576
3e-07,1e-09,40,0.9,12.366913
3e-09,1e-08,40,0.99,11.456443
3e-06,1e-10,40,0.95,11.51183
3e-07,1e-07,40,0.9,12.314329
