rank,LCE(cs)
1,0.0006805628558332317
30,0.0006983047427913077
50,0.0007065783908241261
100,0.0006529987770928791
150,0.0007307356733156711
200,0.0006571134790557246
300,0.0007291871295662132
400,0.0007178606381416059
500,0.0006612281810185702
750,0.0007022424683256437
1000,0.0007607774220551565
1250,0.0007434337320612268
1500,0.0006647677095887598
2000,0.0007789175059773789
2500,0.0006737492633356164
3000,0.0006923317883291125
