rank,SGD
1,82.980808
5,455.821239
15,68.575588
30,145.416167
50,17.831047
75,12.424085
100,264.040709
150,21.822537
200,643.803519
250,14.466969
300,116.770864
400,770.691093
500,211.844126
750,55.404848
1000,336.948608
1250,34.899391
1500,32.020501
1750,26.163125
2000,340.829175
2500,456.056484
3000,86.752878
