rank,FM
1,122.997911
5,668.814212
15,100.808866
30,222.125926
50,30.283859
75,18.737011
100,366.254606
150,33.513307
200,984.163054
250,25.905615
300,182.879444
400,1074.060213
500,325.456398
750,85.080502
1000,478.602994
1250,63.419619
1500,57.799625
1750,46.633038
2000,567.367186
2500,754.298725
3000,139.239266
