rank,PureSVD
1,0.00788233544749018
5,0.008800042829627682
10,0.011705769354194033
15,0.012982444936286164
20,0.012745229802557958
30,0.012700334948023006
50,0.012290387417494188
60,0.012825503581738819
75,0.012737747326802133
100,0.0116534396829845
125,0.011421260525508094
150,0.011922554628427562
200,0.012435286910846381
250,0.011629085892467132
300,0.011701607127765102
350,0.012326973705531694
400,0.013139767563483484
500,0.01309015445990505
750,0.01273476069104397
1000,0.013485200584363883
1250,0.013260202061795399
1500,0.013482229834966135
1750,0.013017188406515444
2000,0.013009912453445021
2500,0.012516450326210526
3000,0.011739353120112959
