rank,FM
1,17.566453
5,79.016819
15,12.780769
30,27.975895
50,4.43227
75,3.254778
100,50.165418
150,5.030892
200,107.098084
250,3.948006
300,22.703786
400,129.066199
500,39.375371
750,11.553027
1000,69.392656
1250,9.036059
1500,7.137931
1750,6.322158
2000,68.802975
2500,91.624236
3000,20.430064
