features_weight,rank,HybridSVD
0.1,3000,0.02017000835421888
0.1,2500,0.022174881648565858
0.1,2000,0.024901002506265663
0.1,1750,0.027226677805625172
0.1,1500,0.0303895850737956
0.1,1250,0.03107699805068226
0.1,1000,0.035293511556669446
0.1,750,0.038886382623224726
0.1,500,0.04311292119186856
0.1,400,0.047255917571707044
0.1,350,0.050272765246449455
0.1,300,0.049236285157337786
0.1,250,0.0471400724032303
0.1,200,0.048442912837649676
0.1,150,0.05070258980785296
0.1,125,0.049761904761904764
0.1,100,0.04848705096073516
0.1,75,0.048656223893065995
0.1,60,0.04827875243664717
0.1,50,0.04595864661654135
0.1,30,0.04260275689223057
0.1,20,0.038531189083820666
0.1,15,0.03729448621553885
0.1,10,0.03299443052074631
0.1,5,0.020316764132553605
0.1,1,0.007171957671957672
0.3,3000,0.02042745753272069
0.3,2500,0.022148426622110834
0.3,2000,0.025536201615148982
0.3,1750,0.027610554163185738
0.3,1500,0.03108688387635756
0.3,1250,0.03090963519910888
0.3,1000,0.03615719855193539
0.3,750,0.038374965190754666
0.3,500,0.043930520746310216
0.3,400,0.046462266778056246
0.3,350,0.049096908939014194
0.3,300,0.04829100529100529
0.3,250,0.046453494848231684
0.3,200,0.05023043720412141
0.3,150,0.04967014759120022
0.3,125,0.04982275132275132
0.3,100,0.04776413255360623
0.3,75,0.04864090782511835
0.3,60,0.04580130882762462
0.3,50,0.04437162350320245
0.3,30,0.0412314118629908
0.3,20,0.039776663881927035
0.3,15,0.03450849345586188
0.3,10,0.029988861041492617
0.3,5,0.0194120022277917
0.3,1,0.007114035087719297
0.5,3000,0.02032177666388193
0.5,2500,0.021975494291283766
0.5,2000,0.025653021442495125
0.5,1750,0.027746449456975773
0.5,1500,0.030713868003341686
0.5,1250,0.03095502645502645
0.5,1000,0.03659370648844333
0.5,750,0.03887900306321359
0.5,500,0.04375201893622946
0.5,400,0.04601489835700362
0.5,350,0.047666805903648
0.5,300,0.0481390977443609
0.5,250,0.04705165692007797
0.5,200,0.04813269284321915
0.5,150,0.05029504316346421
0.5,125,0.04774324700640489
0.5,100,0.046006544138123086
0.5,75,0.047867446393762184
0.5,60,0.04528139793929267
0.5,50,0.04610568086883876
0.5,30,0.04058674463937622
0.5,20,0.038184349763297126
0.5,15,0.034898496240601505
0.5,10,0.02812962962962963
0.5,5,0.019641882483987745
0.5,1,0.007004873294346978
0.7,3000,0.020170983013088277
0.7,2500,0.0222521581732108
0.7,2000,0.02591617933723197
0.7,1750,0.027638123085491503
0.7,1500,0.029237956001113893
0.7,1250,0.030682957393483708
0.7,1000,0.035601642996379836
0.7,750,0.03791882483987746
0.7,500,0.04307964355332776
0.7,400,0.04609551656920077
0.7,350,0.04824505708716235
0.7,300,0.048256613756613755
0.7,250,0.04734962406015038
0.7,200,0.04802854358117516
0.7,150,0.04811681982734614
0.7,125,0.04826482873851295
0.7,100,0.046183932052353105
0.7,75,0.04666012252854358
0.7,60,0.04489626844890003
0.7,50,0.04567056530214425
0.7,30,0.040453912559175714
0.7,20,0.036712893344472294
0.7,15,0.03308201058201058
0.7,10,0.02763464216095795
0.7,5,0.019723475355054303
0.7,1,0.007004873294346978
0.9,3000,0.019749094959621273
0.9,2500,0.022674881648565855
0.9,2000,0.025468393205235314
0.9,1750,0.027157477025898078
0.9,1500,0.028900027847396266
0.9,1250,0.031327485380116954
0.9,1000,0.035268448900027845
0.9,750,0.03773684210526315
0.9,500,0.04286145920356446
0.9,400,0.0457010582010582
0.9,350,0.04794639376218324
0.9,300,0.04760985797827903
0.9,250,0.04712057922584238
0.9,200,0.048019771651350594
0.9,150,0.04821679197994987
0.9,125,0.04721776663881926
0.9,100,0.04678710665552771
0.9,75,0.044970620996936786
0.9,60,0.04512016151489835
0.9,50,0.04490434419381788
0.9,30,0.04026538568643831
0.9,20,0.03598997493734336
0.9,15,0.03240949596212754
0.9,10,0.027231133389028127
0.9,5,0.019620857699805067
0.9,1,0.007004873294346978
