rank,SGD
1,8.358851
5,47.352728
15,7.106741
30,15.833528
50,2.224487
75,1.976057
100,28.162466
150,2.779204
200,66.527929
250,2.190319
300,13.227067
400,83.149862
500,21.819468
750,5.945176
1000,33.926153
1250,4.567893
1500,3.883888
1750,2.752106
2000,41.125074
2500,54.145515
3000,10.132799
